title,company,employment_type,job_level,category,salary_lower,salary_upper,salary_time_interval,roles,requirements
Research Fellow (Machine Learning & Information Theory),NATIONAL UNIVERSITY OF SINGAPORE,Full Time,Professional,Sciences / Laboratory / R&D,5500.0,8000.0,Monthly,"The National University of Singapore invites applications for the position of Post-Doctoral Research Fellow in the Department of Computer Science, School of Computing (SoC). SoC is strongly committed to research excellence in all its dimensions: Searching for fundamental results and insights, developing novel computational solutions to a wide range of applications, building largescale experimental systems and improving the well-being of society. We seek to play an active role both internationally and locally in the core and emerging areas of Computer Science and Information Systems. The Research Fellow will be responsible for working closely with the Principal Investigator Dr. Jonathan Scarlett on problems at the intersection of machine learning and information theory, with topics potentially including: - Algorithms and theory for high-dimensional inference and learning (e.g., graph learning, structured estimation) - Sequential decision-making algorithms under uncertainty (e.g., black-box optimization, bandits, ranking) - Information-theoretic limits for problems in statistical inference, learning, and optimization - Machine learning methods applied to communication problems The salary will be very competitive, and commensurate with the candidate's abilities and track record. Only shortlisted applicants will be notified.","The National University of Singapore invites applications for the position of Post-Doctoral Research Fellow in the Department of Computer Science, School of Computing (SoC). SoC is strongly committed to research excellence in all its dimensions: Searching for fundamental results and insights, developing novel computational solutions to a wide range of applications, building largescale experimental systems and improving the well-being of society. We seek to play an active role both internationally and locally in the core and emerging areas of Computer Science and Information Systems. The Research Fellow will be responsible for working closely with the Principal Investigator Dr. Jonathan Scarlett on problems at the intersection of machine learning and information theory, with topics potentially including: - Algorithms and theory for high-dimensional inference and learning (e.g., graph learning, structured estimation) - Sequential decision-making algorithms under uncertainty (e.g., black-box optimization, bandits, ranking) - Information-theoretic limits for problems in statistical inference, learning, and optimization - Machine learning methods applied to communication problems The salary will be very competitive, and commensurate with the candidate's abilities and track record. Only shortlisted applicants will be notified."
"Postdoctoral Fellow (Machine Learning /  Mathematical Analysis, GIS)",A*STAR RESEARCH ENTITIES,"Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,4500.0,9000.0,Monthly,"We are looking for creative and highly motivated PhD students and Postdoctoral Fellows with a passion for turning big data into discoveries that transform biology and improve the lives of patients for the Singapore Spatial Transcriptomics and Single Cell Oncology Program (GIS - SingHealth - ONCO/MED) Qualified candidates will have the opportunity to lead computational analysis of molecular pathology and spatial transcriptomics datasets in health and disease with a focus on cancer, neurological diseases and metabolic diseases.  We are a large, well-supported (A*STAR; NRF; NMRC; NIH; industry  partners) multidisciplinary program comprising computational biologists  (lead: Shyam Prabhakar), biotechnologists (lead: Chen Kok Hao), oncologists (lead: Tan Bee Huat Iain) and pathologists (lead: Tony Lim Kiat Hon)  with a track record of combining cutting-edge computational and  experimental approaches to infer molecular mechanisms in development and  disease (Li et al., Nat Genet 2017; Sun et al., Cell 2016; Fukawa et  al., Nat Med 2016; Chen et al., Science 2015; del Rosario et al., Nat  Methods 2015; Kumar et al., Nat Biotechnol 2013).  This program leverages our world-leading spatial expression profiling and single cell analysis technologies to add a new dimension to biology and drive disruptive innovations in the anatomical pathology market. In addition to answering basic questions regarding molecular and cellular traits, our current focus is on analyzing cohort-scale single-cell omics data to identify novel cell types, biomarkers and druggable pathways and evaluate the spatial interactions of these cell types in human tissues. ","We are looking for creative and highly motivated PhD students and Postdoctoral Fellows with a passion for turning big data into discoveries that transform biology and improve the lives of patients for the Singapore Spatial Transcriptomics and Single Cell Oncology Program (GIS - SingHealth - ONCO/MED) Qualified candidates will have the opportunity to lead computational analysis of molecular pathology and spatial transcriptomics datasets in health and disease with a focus on cancer, neurological diseases and metabolic diseases.  We are a large, well-supported (A*STAR; NRF; NMRC; NIH; industry  partners) multidisciplinary program comprising computational biologists  (lead: Shyam Prabhakar), biotechnologists (lead: Chen Kok Hao), oncologists (lead: Tan Bee Huat Iain) and pathologists (lead: Tony Lim Kiat Hon)  with a track record of combining cutting-edge computational and  experimental approaches to infer molecular mechanisms in development and  disease (Li et al., Nat Genet 2017; Sun et al., Cell 2016; Fukawa et  al., Nat Med 2016; Chen et al., Science 2015; del Rosario et al., Nat  Methods 2015; Kumar et al., Nat Biotechnol 2013).  This program leverages our world-leading spatial expression profiling and single cell analysis technologies to add a new dimension to biology and drive disruptive innovations in the anatomical pathology market. In addition to answering basic questions regarding molecular and cellular traits, our current focus is on analyzing cohort-scale single-cell omics data to identify novel cell types, biomarkers and druggable pathways and evaluate the spatial interactions of these cell types in human tissues. "
Design Engineer / Electronic Component MNC / 5 days week / Max $5500,CAREER TREND PTE. LTD.,Full Time,Senior Executive,Information Technology,4000.0,5500.0,Monthly,"Work with marketing teams building the next-generation intelligent HW platforms. As an architect, you’ll work with SW/applications team on driving future requirements on machine learning/computer vision applications, prototype them in C++/Python, write architecture spec and work with HW & FPGA design teams for implementation. • CS/EE/Data Scientist specializing in Machine Learning, Deep Learning or computer vision systems • Expertise and experience in machine learning algorithms, such as convolutional neural network, LSTM (Long Short-Term Memory) neural network, classification/detection and their applications • Familiarity in computer vision algorithms such as object detection, tracking and recognition, 3D computer vision — SfM/SLAM Understanding the system implications of aforementioned algorithms in terms of performance and power","Work with marketing teams building the next-generation intelligent HW platforms. As an architect, you’ll work with SW/applications team on driving future requirements on machine learning/computer vision applications, prototype them in C++/Python, write architecture spec and work with HW & FPGA design teams for implementation. • CS/EE/Data Scientist specializing in Machine Learning, Deep Learning or computer vision systems • Expertise and experience in machine learning algorithms, such as convolutional neural network, LSTM (Long Short-Term Memory) neural network, classification/detection and their applications • Familiarity in computer vision algorithms such as object detection, tracking and recognition, 3D computer vision — SfM/SLAM Understanding the system implications of aforementioned algorithms in terms of performance and power"
Principal Engineer (Research),SP CAPITAL LIMITED,Contract,Professional,Engineering,5000.0,8000.0,Monthly,"What you'll do:  Conduct evaluation, research and development activities in distributed energy resources and microgrid system communication, control, modelling and simulation Develop design of experiment to achieve R&D purpose; conduct corresponding laboratory experiment and field pilot test Conduct front end engineering and design works including conceptual and feasibility studies for district-level integrated energy systems and microgrid projects; develop and propose engineering solutions thereof Support distributed energy resources and microgrid system commissioning activities at sites Identify key area or processes for improvement and capture required data for analysis; design, build and optimize data pipelines and ETL processes Apply and implement artificial intelligence/machine learning/deep learning/natural language processing technologies to achieve business objectives Participate in intellectual property development from new ideas generated through the R&D activities Support in engaging key stakeholders throughout various phases in projects to present key insights for both technical and non-technical audiences Ensure compliance with the relevant codes/standards and specifications, statutory requirements, best industry practices and workplace safety and health requirements 	     ","What you'll do:  Conduct evaluation, research and development activities in distributed energy resources and microgrid system communication, control, modelling and simulation Develop design of experiment to achieve R&D purpose; conduct corresponding laboratory experiment and field pilot test Conduct front end engineering and design works including conceptual and feasibility studies for district-level integrated energy systems and microgrid projects; develop and propose engineering solutions thereof Support distributed energy resources and microgrid system commissioning activities at sites Identify key area or processes for improvement and capture required data for analysis; design, build and optimize data pipelines and ETL processes Apply and implement artificial intelligence/machine learning/deep learning/natural language processing technologies to achieve business objectives Participate in intellectual property development from new ideas generated through the R&D activities Support in engaging key stakeholders throughout various phases in projects to present key insights for both technical and non-technical audiences Ensure compliance with the relevant codes/standards and specifications, statutory requirements, best industry practices and workplace safety and health requirements 	     "
"Onboarding Application, Full Stack Software Engineer","JPMORGAN CHASE BANK, N.A.","Permanent, Full Time",Executive,Information Technology,6000.0,12000.0,Monthly,"JPMorgan Chase & Co. (NYSE: JPM) is a leading global financial services firm with assets of $2.5 trillion and operations worldwide. The firm is a leader in investment banking, financial services for consumers and small business, commercial banking, financial transaction processing, and asset management. A component of the Dow Jones Industrial Average, JPMorgan Chase & Co. serves millions of consumers in the United States and many of the world's most prominent corporate, institutional and government clients under its J.P. Morgan and Chase brands. Information about JPMorgan Chase & Co. is available at www.jpmorganchase.com. J.P. Morgan is a place for talented people from all backgrounds and perspectives because our clients come from all backgrounds and perspectives. We encourage a culture of inclusion, where everyone's opinion counts and all employees have the freedom to deliver their absolute best. This is why we work hard and invest in attracting and developing a diverse workforce.　Learn more about our Business Resource Groups in how they help our employees build successful careers and reach their greatest potential. As a member of our Software Engineering Group you will dive head-first into creating innovative solutions that advance businesses and careers. You’ll join an inspiring and curious team of technologists dedicated to improving the design, analytics, development, coding, testing and application programming that goes into creating high quality software and new products. You’ll be tasked with keeping the team and other key stakeholders up to speed on the progress of what’s being developed. Coming in with an understanding of the importance of end-to-end software development-such as Agile frameworks-is key. And best of all, you’ll be working with and sharing ideas, information and innovation with our global team of technologists from all over the world.   Our Asset and Wealth Management division is driven by innovators like you who are driven to create technology solutions that make us work more efficiently and help our businesses grow. It’s our mission to efficiently take care of our clients’ wealth, helping them get, and remain properly invested.  Across 27 cities, our team of 4,600 agile technologists thrive in a cloud-native environment that values continuous learning using a data-centric approach in developing innovative technology solutions.   When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.    At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity.  We encourage professional growth and career development, and offer competitive benefits and compensation.  If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.","JPMorgan Chase & Co. (NYSE: JPM) is a leading global financial services firm with assets of $2.5 trillion and operations worldwide. The firm is a leader in investment banking, financial services for consumers and small business, commercial banking, financial transaction processing, and asset management. A component of the Dow Jones Industrial Average, JPMorgan Chase & Co. serves millions of consumers in the United States and many of the world's most prominent corporate, institutional and government clients under its J.P. Morgan and Chase brands. Information about JPMorgan Chase & Co. is available at www.jpmorganchase.com. J.P. Morgan is a place for talented people from all backgrounds and perspectives because our clients come from all backgrounds and perspectives. We encourage a culture of inclusion, where everyone's opinion counts and all employees have the freedom to deliver their absolute best. This is why we work hard and invest in attracting and developing a diverse workforce.　Learn more about our Business Resource Groups in how they help our employees build successful careers and reach their greatest potential. As a member of our Software Engineering Group you will dive head-first into creating innovative solutions that advance businesses and careers. You’ll join an inspiring and curious team of technologists dedicated to improving the design, analytics, development, coding, testing and application programming that goes into creating high quality software and new products. You’ll be tasked with keeping the team and other key stakeholders up to speed on the progress of what’s being developed. Coming in with an understanding of the importance of end-to-end software development-such as Agile frameworks-is key. And best of all, you’ll be working with and sharing ideas, information and innovation with our global team of technologists from all over the world.   Our Asset and Wealth Management division is driven by innovators like you who are driven to create technology solutions that make us work more efficiently and help our businesses grow. It’s our mission to efficiently take care of our clients’ wealth, helping them get, and remain properly invested.  Across 27 cities, our team of 4,600 agile technologists thrive in a cloud-native environment that values continuous learning using a data-centric approach in developing innovative technology solutions.   When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.    At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity.  We encourage professional growth and career development, and offer competitive benefits and compensation.  If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you."
Software Engineer,FIRMA TECHNOLOGIES PTE. LTD.,Full Time,Junior Executive,Engineering,3000.0,5000.0,Monthly," Develop web app and standalone software for Infrastructure Analytics Tool Write, edit and test programs Processing, cleansing, and verifying the integrity of data used for analysis Selecting features, building and optimizing classifiers using machine learning techniques Manage projects and work closely with external developers and stakeholders Motivated to build world class application, willing to take initiatives and contribute to the success of our project "," Develop web app and standalone software for Infrastructure Analytics Tool Write, edit and test programs Processing, cleansing, and verifying the integrity of data used for analysis Selecting features, building and optimizing classifiers using machine learning techniques Manage projects and work closely with external developers and stakeholders Motivated to build world class application, willing to take initiatives and contribute to the success of our project "
"Python Developer - Rates Front Office, Vice President","JPMORGAN CHASE BANK, N.A.","Permanent, Full Time",Senior Executive,Information Technology,7500.0,15000.0,Monthly,"JPMorgan Chase & Co. (NYSE: JPM) is a leading global financial services firm with assets of $2.5 trillion and operations worldwide. The firm is a leader in investment banking, financial services for consumers and small business, commercial banking, financial transaction processing, and asset management. A component of the Dow Jones Industrial Average, JPMorgan Chase & Co. serves millions of consumers in the United States and many of the world's most prominent corporate, institutional and government clients under its J.P. Morgan and Chase brands. Information about JPMorgan Chase & Co. is available at www.jpmorganchase.com. J.P. Morgan is a place for talented people from all backgrounds and perspectives because our clients come from all backgrounds and perspectives. We encourage a culture of inclusion, where everyone's opinion counts and all employees have the freedom to deliver their absolute best. This is why we work hard and invest in attracting and developing a diverse workforce.　Learn more about our Business Resource Groups in how they help our employees build successful careers and reach their greatest potential. Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world’s important corporations, governments and institutions. You’ll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits.  CIB provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world. When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world. At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity.  We encourage professional growth and career development, and offer competitive benefits and compensation.  If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you. ","JPMorgan Chase & Co. (NYSE: JPM) is a leading global financial services firm with assets of $2.5 trillion and operations worldwide. The firm is a leader in investment banking, financial services for consumers and small business, commercial banking, financial transaction processing, and asset management. A component of the Dow Jones Industrial Average, JPMorgan Chase & Co. serves millions of consumers in the United States and many of the world's most prominent corporate, institutional and government clients under its J.P. Morgan and Chase brands. Information about JPMorgan Chase & Co. is available at www.jpmorganchase.com. J.P. Morgan is a place for talented people from all backgrounds and perspectives because our clients come from all backgrounds and perspectives. We encourage a culture of inclusion, where everyone's opinion counts and all employees have the freedom to deliver their absolute best. This is why we work hard and invest in attracting and developing a diverse workforce.　Learn more about our Business Resource Groups in how they help our employees build successful careers and reach their greatest potential. Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world’s important corporations, governments and institutions. You’ll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits.  CIB provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world. When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world. At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity.  We encourage professional growth and career development, and offer competitive benefits and compensation.  If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you. "
"Scientist (Power System Analytics), EPGC",A*STAR RESEARCH ENTITIES,"Contract, Full Time",Non-executive,Sciences / Laboratory / R&D,5900.0,11800.0,Monthly," Specialize in applying data analytics, machine learning, and data mining technology in power system analysis. Specialize in data collection, database technology and data modeling system/product design. Specialize in power system economics and planning, optimization and economic dispatch. Familiar with PLC application, power grid communication technology. Familiar with actual grid operation and energy management/SCADA system. Familiar with standard/codes or practical experience in modern power system such as Microgrid and smartgrid, energy storage system would be advantageous. To support industry projects, research grant call projects and internal projects in power system related topics. To prepare detailed technical analysis reports as required. To work with team member for experimentation of research work at EPGC facility. "," Specialize in applying data analytics, machine learning, and data mining technology in power system analysis. Specialize in data collection, database technology and data modeling system/product design. Specialize in power system economics and planning, optimization and economic dispatch. Familiar with PLC application, power grid communication technology. Familiar with actual grid operation and energy management/SCADA system. Familiar with standard/codes or practical experience in modern power system such as Microgrid and smartgrid, energy storage system would be advantageous. To support industry projects, research grant call projects and internal projects in power system related topics. To prepare detailed technical analysis reports as required. To work with team member for experimentation of research work at EPGC facility. "
SENIOR DATA SCIENTIST (68722),SIEMENS PTE. LTD.,Permanent,"Professional, Senior Executive","Engineering, Information Technology",5000.0,8000.0,Monthly,"Responsibilities  Collaborate with Product Owners to develop a product data-driven strategy. Understand the competitive marketplace, business issues, and data challenges in order to deliver actionable insights, recommendations, and business processes. Work in a collaborative team environment with other highly skilled specialists in statistics, machine learning, and software engineering. Research new modeling algorithms, languages, packages, and statistical tools to enhance the overall productivity of the team. Design and implement experiments to test various hypotheses. Drive and lead data science related products. Communicate complex solutions in a clear and understandable way to both experts and non-experts. Promote a Data-driven customer-centric culture at Siemens. ","Responsibilities  Collaborate with Product Owners to develop a product data-driven strategy. Understand the competitive marketplace, business issues, and data challenges in order to deliver actionable insights, recommendations, and business processes. Work in a collaborative team environment with other highly skilled specialists in statistics, machine learning, and software engineering. Research new modeling algorithms, languages, packages, and statistical tools to enhance the overall productivity of the team. Design and implement experiments to test various hypotheses. Drive and lead data science related products. Communicate complex solutions in a clear and understandable way to both experts and non-experts. Promote a Data-driven customer-centric culture at Siemens. "
Data Scientist,Company Undisclosed,Permanent,"Professional, Executive",Banking and Finance,8000.0,10000.0,Monthly,"This role aims to offer new services and business models through advanced Machine learning and deep learning methods. In this role you will collaborate closely with external clients, underwriters, client managers, the IT department, and with relevant analytics teams across the globe. You will apply Machine Learning (ML) and Deep Learning (DL) methods to interpret data (images, structured, unstructured) and build solutions to and solve real problems our clients are facing today. If you want to help shape the future as part of our team, we look forward to hearing from you. Tasks and Responsibilities:  Develop insurance business solutions based upon insight discovered from data. Active participation and management of projects in the fields of statistics, ML and DL. Development and implementation of solutions that enable operational units to increase quantity and quality of new business. Supporting and advising the business units in applying the latest research methods and providing a central source for specialised know-how, tools and techniques for data analysis and modelling. Presentation of statistical, ML and DL solutions to internal and external stakeholders. Networking with already existing data-intensive units in the area of analysis and reporting, as well as with IT to form an analytics community. Collaborate with internal partners and data analytics centre to leverage capabilities in big data technology. ","This role aims to offer new services and business models through advanced Machine learning and deep learning methods. In this role you will collaborate closely with external clients, underwriters, client managers, the IT department, and with relevant analytics teams across the globe. You will apply Machine Learning (ML) and Deep Learning (DL) methods to interpret data (images, structured, unstructured) and build solutions to and solve real problems our clients are facing today. If you want to help shape the future as part of our team, we look forward to hearing from you. Tasks and Responsibilities:  Develop insurance business solutions based upon insight discovered from data. Active participation and management of projects in the fields of statistics, ML and DL. Development and implementation of solutions that enable operational units to increase quantity and quality of new business. Supporting and advising the business units in applying the latest research methods and providing a central source for specialised know-how, tools and techniques for data analysis and modelling. Presentation of statistical, ML and DL solutions to internal and external stakeholders. Networking with already existing data-intensive units in the area of analysis and reporting, as well as with IT to form an analytics community. Collaborate with internal partners and data analytics centre to leverage capabilities in big data technology. "
